OTUID	Kingdom	Phylum	Class	Order	Family	Genus	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
dd8229814f2d127e61ac92c5d275db8b	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	126	122	260	236	202
0ed6854f5740a2eea5deb3af31db72c0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	412	118	90	228	142	214
b82c3535fb937a58b95e70647a411c16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	224	168	58	266	322	138
c83d3715398517b82246ea219c3b0781	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium	0	0	0	0	0	0	0	0	0	0	0	0	144	142	60	164	232	244	0	0	32	20	12	32	30	6	0	20	0	16
beac7c84e8eae8c4e9f6140a46f5843a	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	538	24	262	52	166
20b3df08cd5fac2be26a2928155bab69	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	0	0	0	0	0	0	0	0	14	14	0	0	0	56	0	58	92	0	0	0	12	18	32	24	176	110	62	194	150	112
243f0a8a86efa886a49c9d68e0524b63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	372	138	34	158	208	186
8ce12e88f6b59bb09494567f0d678092	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	0	8	16	20	20	22	32	12	10	12	12	26	14	0	0	0	0	0	12	228	136	24	216	154	110
ea60638f9057ef506db0120b45f7cd16	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	0	0	0	0	0	0	0	16	0	18	12	0	78	46	30	66	94	78	26	20	94	50	80	36	84	12	12	68	70	72
a1ed615a4ed0b08c534fcc504a4608b2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	258	122	0	178	320	156
