OTUID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
cae6a99635f967483cca9869c4f60efb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	164	64	276	132	140
ea403646ed22d679fa4586263d8fc32f	0	0	0	0	0	0	0	0	0	28	0	0	26	30	10	24	60	40	0	0	6	10	0	8	202	96	52	138	194	112
b381b237c2eefde436e72e237168474d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	224	48	178	198	184
70eae3f0af7c1ad7350c1a3189b6766b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	150	128	210	136	214
5a85851196cf28506943318a2b3d5114	0	0	0	0	0	0	14	44	44	132	116	38	74	66	44	90	104	142	0	18	22	0	10	18	0	0	0	0	0	6
2815e2eb706f328b5d43215f5d38906e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	318	138	50	172	136	160
c11224a2c78321aae315f6df4fbe0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	104	38	192	246	108
9c64e573ba59975ccc8cbb6689e4f7df	0	0	0	0	0	0	0	0	0	0	0	0	44	84	16	266	170	260	0	0	16	40	0	76	0	0	0	0	0	0
dcc453180f4f8181835dc7c9227847d6	0	0	0	0	0	0	0	0	0	0	0	0	82	112	58	82	160	118	0	0	26	32	14	34	130	30	4	20	46	14
9c0de7908dd6ef3d536b42d9e11e0779	0	0	0	0	0	0	30	102	54	252	174	72	0	0	0	0	46	36	0	30	0	0	0	0	68	0	18	48	18	0
e80d9b199b6415215bd081bc7703fdb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	108	76	236	162	104
566e7c6bd78cd8239498181b193e8f3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	82	56	322	160	100
83d887f9d8755e268a483a85b77ca9e6	860	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78db7fa6b16b73b101fbb8b282b5330e	0	0	0	0	0	0	0	0	0	0	0	0	58	70	48	26	54	54	0	0	0	0	0	0	58	38	38	78	124	290
f8b80982510bec63a6322c13861027e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	192	72	148	108	156
10b890326e2b0b15509aefb95d0d6b79	0	0	0	0	0	0	0	10	0	0	0	0	114	140	92	120	166	134	0	0	26	32	30	56	0	0	0	0	0	0
a1d101a92e585f5b7bd0bffc9600dd15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	250	80	70	140	204	162
7ea4b157e51f38c83a0693ce6ea70f53	4	0	0	0	0	0	0	0	0	0	0	0	98	110	68	126	246	142	0	0	24	16	24	10	6	0	4	16	10	10
f42e53974ad60b6f7e2f908c6a780ac4	0	0	0	0	0	0	0	0	0	0	0	0	98	94	132	108	156	218	0	0	24	34	14	34	0	0	0	0	0	0
b9e9395fdb3c571b1491ba038ddfad5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	298	90	68	112	200	104
47fe5b9eeaad17c139e39a16068f34f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	24	0	0	0	0	0	0	192	136	64	182	194	62
1354e61ebc4a9494d78e8e068ba2e611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	170	62	154	182	108
aee0dacb66bb3b44e8986f3859fd19d6	0	0	0	0	0	0	0	0	0	0	0	0	114	104	40	146	210	154	0	0	20	24	0	38	0	0	0	0	0	0
675935ea669f58ed689dc7a62bfd363e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	204	102	24	172	124	210
8012da7c810e58147175f741af2a78d2	22	16	0	0	14	0	0	12	6	18	28	20	38	42	20	46	58	48	0	40	22	104	22	28	76	28	0	0	28	104
7a6dfd458de99d4ff65e52f638b69111	0	0	2	0	0	0	0	0	0	0	0	0	90	100	0	152	256	236	0	0	0	0	0	0	0	0	0	0	0	0
2ba989fc8d7eb2e0e003700ee22e00a8	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	306	212	0	0	0	0	0	0	0	0	0	0	0	0
ec9a0f58daa2f7b33b9ca94ffb00fd4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	106	28	136	144	106
889f1bc31887efea2354ba099342a203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	116	36	174	182	154
ec988c983764a3067f43210984514699	0	0	0	0	0	0	0	0	0	0	0	0	74	118	64	128	120	204	0	0	34	0	18	60	0	0	0	0	0	0
58eab7a2c32d68609d97e33d5db95a70	0	0	0	0	0	0	0	0	0	0	0	0	70	86	40	134	140	224	0	0	50	0	32	34	0	0	0	0	0	0
c1d9eada909d2d5dbe078f25f1038508	0	0	0	26	0	22	0	0	0	8	14	6	26	32	0	28	12	20	16	42	10	88	40	26	116	24	0	32	150	38
e346210d2e884f2a74593c76884631e1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	76	42	272	108	120
54c82e78a5d6403950532c990e12e94e	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	188	120	18	186	156	90
027a87edc5a47c4c19e82c3e2dabb97c	0	0	0	0	0	0	0	0	0	0	0	0	182	64	50	92	142	170	0	0	48	14	0	0	0	0	0	0	0	0
7f45a991e5b8a9336cc0503db547d2df	0	0	0	0	0	0	0	0	0	0	0	0	102	80	86	74	196	164	0	0	20	0	22	0	16	0	0	0	0	0
ecc423b8fefd03a92aa1a97fc74a654c	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	138	142	0	216	144	98
8e9de88e4304cb8c982988b961609d50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	106	48	162	204	74
7b262aeb33bd61c6f6415a0878b3b6d3	112	120	136	124	134	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ed9b5dbe1ffe3a29b951fa8bc5fc2c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0	0	0	0	0	0
5473c224f739cb4b6ff3265bbc140a4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	106	52	38	366	84	70
758ffa2262415ceb0d6b18f856e76b46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	200	90	10	144	134	130
5d75b50d685c8b45bdfd97027510bf1e	0	0	0	0	0	0	0	0	0	0	0	0	104	92	0	112	164	176	0	0	36	0	0	34	0	0	0	0	0	0
