OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
ASV2064	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Unidentified_Dysgonomonas
ASV2065	Bacteria	Chloroflexi	TK10	Unidentified	Unidentified	Unidentified	Unidentified
ASV2066	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	BIyi10	Unidentified
ASV2067	Bacteria	Unidentified_Bacteria	Unidentified_Bacteria	Unidentified_Bacteria	Unidentified_Bacteria	Unidentified_Bacteria	Unidentified_Bacteria
ASV2062	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	Unidentified_Bordetella
ASV2068	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	KD3-93	Unidentified	Unidentified
ASV2069	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerospora	Unidentified_Anaerospora
ASV2070	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	Unidentified_Opitutus
ASV2071	Bacteria	Firmicutes	Clostridia	Clostridiales	Unidentified_Clostridiales	Unidentified_Clostridiales	Unidentified_Clostridiales
ASV2073	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_Amoebophilus	Unidentified_Candidatus_Amoebophilus
ASV2074	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unidentified	Unidentified
ASV2075	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured_bacterium	uncultured_bacterium
ASV2076	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV2077	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	Unidentified_Ruminococcus_1
ASV2078	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unidentified_Vermiphilaceae	Unidentified_Vermiphilaceae
ASV2079	Bacteria	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	Unidentified	Unidentified	Unidentified
ASV2036	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV2080	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parapusillimonas	Unidentified_Parapusillimonas
ASV2082	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV2083	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unidentified_Brevundimonas
ASV2081	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	Unidentified_Iamia
ASV2084	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured_bacterium	uncultured_bacterium
ASV2086	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unidentified	Unidentified
ASV2085	Bacteria	Actinobacteria	Acidimicrobiia	Unidentified_Acidimicrobiia	Unidentified_Acidimicrobiia	Unidentified_Acidimicrobiia	Unidentified_Acidimicrobiia
ASV2087	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20	uncultured_bacterium	uncultured_bacterium
ASV2088	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Unidentified_Sandaracinaceae	Unidentified_Sandaracinaceae
ASV2090	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	Unidentified
ASV2089	Bacteria	Chloroflexi	Anaerolineae	SBR1031	Unidentified	Unidentified	Unidentified
ASV2092	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unidentified_Luteimonas
ASV2093	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV2094	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17	uncultured_bacterium	uncultured_bacterium
ASV2091	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	uncultured_bacterium
ASV2096	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	Unidentified_Olivibacter
ASV2097	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
